NoRIP,true_rip
7783960,17783960
01809437,18094375
19804842,18048429
01886213,18862134
02031235,20312359
02111716,21117256
02076483,20706483
02086128,20861288
27050739,22050239
00233585,23358599
02296376,22096376
27197401,21974011
72331034,23331034
72460746,23460746
72461460,23461460
72469707,23469202
72470471,23470471
72470610,23470610
72474190,23474190
72479696,23479696
73469203,23469303
73469266,23469366
73470205,23470305
00228116,22811640
55915742,22915742
00244347,24434781
72913104,23913104
72913611,23913611
72997253,23992353
73914576,23914575
00241873,24187395
02361741,23641741
02363442,23634429
02400846,24008462
02400950,24009502
02424859,24248597
24746719,24246718
72915491,23915491
72945456,23945456
72962780,23953250
72964657,23964582
72964745,23964745
72965015,23965015
73637706,23637705
73905869,23905868
73917724,23912734
73919122,23919133
73927271,23937321
73950204,23950304
73957969,23957968
73979609,23928599
73979662,23928563
73997367,23882362
74169210,24169310
74754021,24254031
72531940,23531940
72579067,23529062
72579790,23529290
72627209,23532308
72799101,23799101
73934921,23934831
73974204,23974304
73979217,23929312
77531717,23531217
77673705,23623705
2309284,23092846
02492332,24923322
02552382,25523820
10717926,17017928
23579118x,23529112
16621838,16621839
16714950,16714949
16722529,16722528
16728484,16728483
16728902,16728901
16729183,16729182
16735109,16735108
16745249,16745248
16747306,16747305
16750175,16750174
16751379,16751378
16752041,16752040
16757257,16757256
16765381,16765380
16770862,16770861
16771938,16771937
16776675,16776674
16777754,16777753
16782600,16782599
16797541,16797540
16809322,16809321
16823004,16823003
16823651,16823650
16831607,16831606
16840048,16840047
16851520,16851519
16860469,16860468
16866942,16866941
16869001,16869000
16871676,16871675
16883721,16883720
16884646,16884645
16886211,16886210
16892023,16892022
16894229,16894228
16908397,16908396
16911924,16911923
16918196,16918195
16922408,16922407
16923867,16923866
16925088,16925087
16927688,16927687
16929807,16929806
16930557,16930556
16932346,16932345
16945179,16945178
16956133,16956132
16966437,16966436
16970854,16970853
16973645,16973644
16975994,16975993
16979461,16979460
16993054,16993053
17000354,17000353
17001572,17001571
17015810,17015809
17022576,17022575
17034037,17034036
17047199,17047198
17051805,17051804
17056061,17056060
17056907,17056906
17060727,17060726
17063091,17063090
17075162,17075161
17076935,17076934
17080210,17080209
17080756,17080755
17081226,17081225
17086100,17086099
17088587,17088586
17094399,17094398
17096863,17096862
17106841,17106840
17110193,17110192
17117693,17117692
17120180,17120179
17120232,17120231
17120485,17120484
17120737,17120736
17121259,17121258
17121614,17121613
17125878,17125877
17131868,17131867
17134751,17134750
17140513,17140512
17140626,17140625
17153852,17153851
17156214,17156213
17160236,17160235
17167876,17167875
17168144,17168143
17170769,17170768
17171773,17171772
17172660,17172659
17182055,17182054
17183463,17183462
17184210,17184209
17187726,17187725
17188502,17188501
17188742,17188741
17195545,17195544
17199467,17199466
17200105,17200104
17201525,17201524
17202123,17202122
17206817,17206816
17207124,17207123
17207617,17207616
17210789,17210788
17212555,17212554
17213874,17213873
17214041,17214040
17217200,17217199
17217669,17217668
17219168,17219167
17219182,17219181
17223180,17223189
17225882,17225881
17227367,17227366
17228369,17228368
17228445,17228444
17233181,17233180
17233977,17233976
17237002,17237001
17237038,17237037
17238713,17238712
17238788,17238787
17242735,17242734
17247813,17247812
17248750,17248749
17252419,17252418
17256469,17256468
17260010,17260009
17261608,17261607
17261620,17261619
17264541,17264540
17270001,17270000
17272132,17272131
17273971,17273970
17280356,17280355
17280711,17280710
17282451,17282450
17283782,17283781
17284911,17284910
17286498,17286497
17293884,17293883
17300905,17300904
17301160,17301159
17303887,17303886
17316063,17316062
17322659,17322658
17336988,17336987
17349264,17349263
17354631,17354630
17355735,17355734
17355976,17355975
17356396,17356395
17369049,17369048
17369052,17369051
17370027,17370026
17373441,17373440
17375321,17375320
17386058,17386057
17387060,17387059
17392136,17392135
17393189,17393188
17393393,17393392
17395739,17395738
17403562,17403561
17403675,17403674
17404121,17404120
17404537,17404536
17405201,17405200
17406480,17406479
17409310,17409309
17409351,17409350
17409969,17409968
17412484,17412483
17417042,17417041
17418943,17418942
17420758,17420757
17422232,17422231
17423083,17423082
17423487,17423486
17426612,17426610
17427536,17427535
17427548,17427547
17427599,17427598
17427765,17427764
17427827,17427826
17428247,17428246
17428615,17428614
17428882,17428881
17429009,17429008
17433351,17433350
17434466,17434465
17434542,17434541
17434555,17434554
17435065,17435064
17435228,17435227
17435267,17435266
17435368,17435367
17435533,17435532
17435901,17435900
17435952,17435951
17436156,17436155
17436560,17436559
17436598,17436597
17436853,17436852
17436903,17436902
17436954,17436953
17437133,17437132
17437145,17437144
17437412,17437411
17437424,17437423
17439772,17439771
17439962,17439961
17440178,17440177
17442083,17442082
17442412,17442411
17442576,17442575
17442715,17442714
17442727,17442726
17442804,17442803
17442855,17442854
17442905,17442904
17442929,17442928
17442980,17442979
17443059,17443058
17443109,17443108
17443111,17443110
17443210,17443209
17443337,17443336
17443388,17443387
17443705,17443704
17443782,17443781
17443818,17443817
17445142,17445141
17445155,17445154
17445611,17445610
17445813,17445812
17445900,17445899
17445938,17445937
17445991,17445990
17446017,17446016
17446308,17446307
17447122,17447121
17447134,17447133
17447159,17447158
17447336,17447335
17447375,17447374
17447639,17447638
17447742,17447741
17447880,17447879
17447882,17447881
17447894,17447893
17447983,17447982
17448110,17448109
17448187,17448186
17448365,17448364
17448391,17448390
17448439,17448438
17448540,17448539
17449797,17449796
17450155,17450154
17450167,17450166
17450332,17450331
17450445,17450444
17450458,17450457
17450472,17450471
17450950,17450949
17451056,17451055
17451118,17451117
17451601,17451600
17451637,17451636
17451928,17451927
17452096,17452095
17452247,17452246
17452312,17452311
17452449,17452448
17452639,17452638
17452793,17452792
17455081,17455080
17457465,17457464
17460891,17460890
17462743,17462742
17465726,17465725
17465815,17465814
17465940,17465939
17466007,17466006
17466452,17466451
17467643,17467642
17468189,17468188
17468379,17468378
17470637,17470636
17472100,17472109
17472151,17472150
17472187,17472186
17472427,17472426
17474128,17474127
17476806,17476805
17478432,17478431
17488888,17488887
17488977,17488976
17489409,17489408
17490856,17490855
17498574,17498573
17500049,17500048
17500191,17500190
17501407,17501406
17504288,17504287
17504668,17504667
17506244,17506243
17507778,17507777
17507905,17507904
17507931,17507930
17507982,17507981
17514164,17514163
17514176,17514175
17514253,17514252
17514327,17514326
17514354,17514353
17514580,17514579
17514721,17514720
17514784,17514783
17514962,17514961
17515231,17515230
17515282,17515281
17515421,17515420
17515609,17515608
17515724,17515723
17515890,17515899
17515953,17515952
17516005,17516004
17516132,17516131
17516500,17516509
17516563,17516562
17516637,17516636
17516738,17516737
17516841,17516840
17516866,17516865
17516928,17516927
17516993,17516992
17517500,17517499
17519898,17519897
17521738,17521737
17522070,17522069
17524138,17524137
17524860,17524859
17526208,17526207
17526210,17526219
17526386,17526385
17526412,17526411
17526855,17526854
17526931,17526930
17527275,17527274
17527503,17527502
17527756,17527755
17528125,17528124
17528152,17528151
17528289,17528288
17528657,17528656
17528671,17528670
17528820,17528819
17530384,17530383
17534824,17534823
17541173,17541172
17541627,17541626
17552618,17552617
17552784,17552783
17556403,17556402
17558256,17558255
17559056,17559055
17559892,17559891
17559940,17559939
17560310,17560309
17568990,17568989
17573055,17573054
17577991,17577990
17586240,17586239
17586925,17586924
17588018,17588017
17588691,17588690
17588816,17588815
17595645,17595644
17596243,17596242
17598019,17598018
17598387,17598386
17598476,17598475
17598692,17598691
17599023,17599022
17604886,17604885
17606119,17606118
17606234,17606233
17610737,17610736
17618518,17618517
17618607,17618606
17621464,17621463
17628521,17628520
17629865,17629864
17632341,17632340
17633242,17633241
17636492,17636491
17638332,17638331
17639512,17639511
17640021,17640020
17640122,17640121
17640880,17640879
17650352,17650351
17655086,17655085
17656443,17656442
17660365,17660364
17668602,17668601
17670428,17670427
17676763,17676762
17682726,17682725
17684488,17684489
17700892,17700891
17701742,17701741
17709129,17709128
17711895,17711894
17713495,17713494
17715449,17715448
17718332,17718331
17723383,17723382
17725832,17725831
17726986,17726985
17732036,17732037
17733105,17733104
17745745,17745744
17768061,17768060
17771954,17771953
17772246,17772245
17793327,17793326
17795183,17795182
17806772,17806771
17810743,17810742
17818270,17818269
17825202,17825201
17828881,17828880
17830024,17830023
17836508,17836507
17845216,17845215
17849962,17849961
17852614,17852613
17854556,17854555
17856510,17856509
17862197,17862196
17862742,17862741
17865081,17865080
17866069,17866068
17866650,17866649
17869659,17869658
17874798,17874797
17882643,17882642
17882807,17882806
17886169,17886161
17886679,17886678
17888420,17888429
17897379,17897378
17898660,17898659
17899068,17899067
17899144,17899143
17899700,17899699
17899753,17899752
17899803,17899802
17899993,17899992
17904197,17904196
17904704,17904703
17918108,17918107
17918540,17918549
17918577,17918576
17918627,17918626
17918704,17918703
17931954,17931953
17933818,17933817
17939468,17939467
17939912,17939911
17941270,17941269
17942161,17942160
17949913,17949912
17950370,17950369
17951436,17951435
17951727,17951726
17953820,17953819
17954444,17954443
17956615,17956614
17959660,17959659
17976581,17976580
17976643,17976642
17976694,17976693
17976959,17976958
17976985,17976984
17977696,17977695
17977722,17977721
17978332,17978331
17979637,17979636
17981769,17981768
17986075,17986074
17987646,17987645
17987812,17987811
17997003,17997002
17998649,17998648
18000633,18000632
18002080,18002079
18007778,18007777
18009200,18009199
18337688,18337687
19618027,19618026
19781310,19781311
20773534,20721534
21710002,21710001
22444777,22444778
23012653,23012659
23571192,23521192
23970352,23920352
24551821,24551828
24714000,24714002
01529534,15295342
02331445,23314457
26395475,23601596
72777117,23727112
73592774,23593724
73610204,23610304
73614923,23614833
73647240,23647340
73795217,23795317
73816579,23816578
14543146,14159002
02360156,
00225336,
23848830,
17237185,